# OpenTelemetry Metrics report: .gz, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See BasicCsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.maxRegisteredFiles,1710839406441000000,1710839466467000000,714
FilePageCache.uncachedFileAccess,1710839406441000000,1710839466467000000,277
FilePageCache.pageLoads,1710839406441000000,1710839466467000000,4510
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1710839406441000000,1710839466467000000,0
DirectByteBufferAllocator.misses,1710839406441000000,1710839466467000000,4510
DirectByteBufferAllocator.reclaimed,1710839406441000000,1710839466467000000,0
FilePageCache.pageHits,1710839406441000000,1710839466467000000,134618
FilePageCache.capacityInBytes,1710839406441000000,1710839466467000000,524288000
FilePageCache.pageLoadsAboveSizeThreshold,1710839406441000000,1710839466467000000,0
FilePageCache.totalPageDisposalsUs,1710839406441000000,1710839466467000000,28116
FilePageCache.totalPageLoadsUs,1710839406441000000,1710839466467000000,772990
DirectByteBufferAllocator.disposed,1710839406441000000,1710839466467000000,3088
StorageLockContext.competingThreads.90P,1710839406441000000,1710839466467000000,0
FilePageCache.pageFastCacheHits,1710839406441000000,1710839466467000000,5005655
StorageLockContext.competingThreads.avg,1710839406441000000,1710839466467000000,0.06896551724137931
FilePageCache.maxCacheSizeInBytes,1710839406441000000,1710839466467000000,338558976
FilePageCache.disposedBuffers,1710839406441000000,1710839466467000000,3088
StorageLockContext.competingThreads.max,1710839406441000000,1710839466467000000,7
DirectByteBufferAllocator.hits,1710839406441000000,1710839466467000000,0
FileNameCache.totalMisses,1710839406441000000,1710839466467000000,128200
FileNameCache.fastMisses,1710839406441000000,1710839466467000000,427257
FileNameCache.queries,1710839406441000000,1710839466467000000,8010959
FlushQueue.queueSizeAvg,1710839406441000000,1710839466467000000,32.110014800197334
FlushQueue.waitingTimeMaxNs,1710839406441000000,1710839466467000000,5570035711
AWTEventQueue.dispatchTime90PNs,1710839406441000000,1710839466467000000,28442623
FlushQueue.queueSizeMax,1710839406441000000,1710839466467000000,140
FlushQueue.executionTimeAvgNs,1710839406441000000,1710839466467000000,1.2441563069560928E7
NonBlockingReadAction.failedExecutionTimeUs,1710839406441000000,1710839466467000000,0
AWTEventQueue.eventsDispatched,1710839406441000000,1710839466467000000,2105
FlushQueue.waitingTimeAvgNs,1710839406441000000,1710839466467000000,9.223874347666502E8
FlushQueue.waitingTime90PNs,1710839406441000000,1710839466467000000,2785017855
FlushQueue.executionTimeMaxNs,1710839406441000000,1710839466467000000,4362076159
FlushQueue.queueSize90P,1710839406441000000,1710839466467000000,90
NonBlockingReadAction.failedExecutionsCount,1710839406441000000,1710839466467000000,0
FlushQueue.executionTime90PNs,1710839406441000000,1710839466467000000,10092543
AWTEventQueue.dispatchTimeMaxNs,1710839406441000000,1710839466467000000,4362076159
FlushQueue.tasksExecuted,1710839406441000000,1710839466467000000,2027
NonBlockingReadAction.finalizedExecutionTimeUs,1710839406441000000,1710839466467000000,9760677
NonBlockingReadAction.finalizedExecutionsCount,1710839406441000000,1710839466467000000,53
AWTEventQueue.dispatchTimeAvgNs,1710839406441000000,1710839466467000000,2.007499459192399E7
FilePageCache.maxRegisteredFiles,1710839466467000000,1710839526470000000,714
FilePageCache.uncachedFileAccess,1710839466467000000,1710839526470000000,465
FilePageCache.pageLoads,1710839466467000000,1710839526470000000,32
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1710839466467000000,1710839526470000000,0
DirectByteBufferAllocator.misses,1710839466467000000,1710839526470000000,32
DirectByteBufferAllocator.reclaimed,1710839466467000000,1710839526470000000,0
FilePageCache.pageHits,1710839466467000000,1710839526470000000,574
FilePageCache.capacityInBytes,1710839466467000000,1710839526470000000,524288000
FilePageCache.pageLoadsAboveSizeThreshold,1710839466467000000,1710839526470000000,0
FilePageCache.totalPageDisposalsUs,1710839466467000000,1710839526470000000,90
FilePageCache.totalPageLoadsUs,1710839466467000000,1710839526470000000,16378
DirectByteBufferAllocator.disposed,1710839466467000000,1710839526470000000,0
StorageLockContext.competingThreads.90P,1710839466467000000,1710839526470000000,0
FilePageCache.pageFastCacheHits,1710839466467000000,1710839526470000000,2477726
StorageLockContext.competingThreads.avg,1710839466467000000,1710839526470000000,0.0
FilePageCache.maxCacheSizeInBytes,1710839466467000000,1710839526470000000,340746240
FilePageCache.disposedBuffers,1710839466467000000,1710839526470000000,0
StorageLockContext.competingThreads.max,1710839466467000000,1710839526470000000,0
DirectByteBufferAllocator.hits,1710839466467000000,1710839526470000000,0
FileNameCache.totalMisses,1710839466467000000,1710839526470000000,5264
FileNameCache.fastMisses,1710839466467000000,1710839526470000000,77846
FileNameCache.queries,1710839466467000000,1710839526470000000,2310185
FlushQueue.queueSizeAvg,1710839466467000000,1710839526470000000,6.139901477832512
FlushQueue.waitingTimeMaxNs,1710839466467000000,1710839526470000000,1325400063
AWTEventQueue.dispatchTime90PNs,1710839466467000000,1710839526470000000,4554751
FlushQueue.queueSizeMax,1710839466467000000,1710839526470000000,48
FlushQueue.executionTimeAvgNs,1710839466467000000,1710839526470000000,3420563.0679802955
NonBlockingReadAction.failedExecutionTimeUs,1710839466467000000,1710839526470000000,57549
AWTEventQueue.eventsDispatched,1710839466467000000,1710839526470000000,6105
FlushQueue.waitingTimeAvgNs,1710839466467000000,1710839526470000000,1.0336535180098522E8
FlushQueue.waitingTime90PNs,1710839466467000000,1710839526470000000,371195903
FlushQueue.executionTimeMaxNs,1710839466467000000,1710839526470000000,654311423
FlushQueue.queueSize90P,1710839466467000000,1710839526470000000,22
NonBlockingReadAction.failedExecutionsCount,1710839466467000000,1710839526470000000,1
FlushQueue.executionTime90PNs,1710839466467000000,1710839526470000000,4816895
AWTEventQueue.dispatchTimeMaxNs,1710839466467000000,1710839526470000000,662700031
FlushQueue.tasksExecuted,1710839466467000000,1710839526470000000,1015
NonBlockingReadAction.finalizedExecutionTimeUs,1710839466467000000,1710839526470000000,1063279
NonBlockingReadAction.finalizedExecutionsCount,1710839466467000000,1710839526470000000,74
AWTEventQueue.dispatchTimeAvgNs,1710839466467000000,1710839526470000000,2360325.4093366093
FilePageCache.maxRegisteredFiles,1710839526470000000,1710839586468000000,714
FilePageCache.uncachedFileAccess,1710839526470000000,1710839586468000000,0
FilePageCache.pageLoads,1710839526470000000,1710839586468000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1710839526470000000,1710839586468000000,0
DirectByteBufferAllocator.misses,1710839526470000000,1710839586468000000,0
DirectByteBufferAllocator.reclaimed,1710839526470000000,1710839586468000000,0
FilePageCache.pageHits,1710839526470000000,1710839586468000000,1
FilePageCache.capacityInBytes,1710839526470000000,1710839586468000000,524288000
FilePageCache.pageLoadsAboveSizeThreshold,1710839526470000000,1710839586468000000,0
FilePageCache.totalPageDisposalsUs,1710839526470000000,1710839586468000000,0
FilePageCache.totalPageLoadsUs,1710839526470000000,1710839586468000000,0
DirectByteBufferAllocator.disposed,1710839526470000000,1710839586468000000,0
StorageLockContext.competingThreads.90P,1710839526470000000,1710839586468000000,0
FilePageCache.pageFastCacheHits,1710839526470000000,1710839586468000000,637
StorageLockContext.competingThreads.avg,1710839526470000000,1710839586468000000,0.0
FilePageCache.maxCacheSizeInBytes,1710839526470000000,1710839586468000000,340746240
FilePageCache.disposedBuffers,1710839526470000000,1710839586468000000,0
StorageLockContext.competingThreads.max,1710839526470000000,1710839586468000000,0
DirectByteBufferAllocator.hits,1710839526470000000,1710839586468000000,0
FileNameCache.totalMisses,1710839526470000000,1710839586468000000,0
FileNameCache.fastMisses,1710839526470000000,1710839586468000000,29
FileNameCache.queries,1710839526470000000,1710839586468000000,7860
FlushQueue.queueSizeAvg,1710839526470000000,1710839586468000000,0.13488372093023257
FlushQueue.waitingTimeMaxNs,1710839526470000000,1710839586468000000,33816575
AWTEventQueue.dispatchTime90PNs,1710839526470000000,1710839586468000000,4325375
FlushQueue.queueSizeMax,1710839526470000000,1710839586468000000,5
FlushQueue.executionTimeAvgNs,1710839526470000000,1710839586468000000,767387.265116279
NonBlockingReadAction.failedExecutionTimeUs,1710839526470000000,1710839586468000000,0
AWTEventQueue.eventsDispatched,1710839526470000000,1710839586468000000,4045
FlushQueue.waitingTimeAvgNs,1710839526470000000,1710839586468000000,1058499.981395349
FlushQueue.waitingTime90PNs,1710839526470000000,1710839586468000000,1548287
FlushQueue.executionTimeMaxNs,1710839526470000000,1710839586468000000,25952255
FlushQueue.queueSize90P,1710839526470000000,1710839586468000000,0
NonBlockingReadAction.failedExecutionsCount,1710839526470000000,1710839586468000000,0
FlushQueue.executionTime90PNs,1710839526470000000,1710839586468000000,1540095
AWTEventQueue.dispatchTimeMaxNs,1710839526470000000,1710839586468000000,115867647
FlushQueue.tasksExecuted,1710839526470000000,1710839586468000000,430
NonBlockingReadAction.finalizedExecutionTimeUs,1710839526470000000,1710839586468000000,16310
NonBlockingReadAction.finalizedExecutionsCount,1710839526470000000,1710839586468000000,23
AWTEventQueue.dispatchTimeAvgNs,1710839526470000000,1710839586468000000,1661242.169592089
FilePageCache.maxRegisteredFiles,1710839586468000000,1710839646467000000,714
FilePageCache.uncachedFileAccess,1710839586468000000,1710839646467000000,0
FilePageCache.pageLoads,1710839586468000000,1710839646467000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1710839586468000000,1710839646467000000,0
DirectByteBufferAllocator.misses,1710839586468000000,1710839646467000000,0
DirectByteBufferAllocator.reclaimed,1710839586468000000,1710839646467000000,0
FilePageCache.pageHits,1710839586468000000,1710839646467000000,0
FilePageCache.capacityInBytes,1710839586468000000,1710839646467000000,524288000
FilePageCache.pageLoadsAboveSizeThreshold,1710839586468000000,1710839646467000000,0
FilePageCache.totalPageDisposalsUs,1710839586468000000,1710839646467000000,0
FilePageCache.totalPageLoadsUs,1710839586468000000,1710839646467000000,0
DirectByteBufferAllocator.disposed,1710839586468000000,1710839646467000000,0
StorageLockContext.competingThreads.90P,1710839586468000000,1710839646467000000,0
FilePageCache.pageFastCacheHits,1710839586468000000,1710839646467000000,546
StorageLockContext.competingThreads.avg,1710839586468000000,1710839646467000000,0.0
FilePageCache.maxCacheSizeInBytes,1710839586468000000,1710839646467000000,340746240
FilePageCache.disposedBuffers,1710839586468000000,1710839646467000000,0
StorageLockContext.competingThreads.max,1710839586468000000,1710839646467000000,0
DirectByteBufferAllocator.hits,1710839586468000000,1710839646467000000,0
FileNameCache.totalMisses,1710839586468000000,1710839646467000000,0
FileNameCache.fastMisses,1710839586468000000,1710839646467000000,0
FileNameCache.queries,1710839586468000000,1710839646467000000,3189
FlushQueue.queueSizeAvg,1710839586468000000,1710839646467000000,0.04776119402985075
FlushQueue.waitingTimeMaxNs,1710839586468000000,1710839646467000000,13107199
AWTEventQueue.dispatchTime90PNs,1710839586468000000,1710839646467000000,3964927
FlushQueue.queueSizeMax,1710839586468000000,1710839646467000000,1
FlushQueue.executionTimeAvgNs,1710839586468000000,1710839646467000000,330996.4417910448
NonBlockingReadAction.failedExecutionTimeUs,1710839586468000000,1710839646467000000,0
AWTEventQueue.eventsDispatched,1710839586468000000,1710839646467000000,2699
FlushQueue.waitingTimeAvgNs,1710839586468000000,1710839646467000000,333364.53731343284
FlushQueue.waitingTime90PNs,1710839586468000000,1710839646467000000,423935
FlushQueue.executionTimeMaxNs,1710839586468000000,1710839646467000000,8781823
FlushQueue.queueSize90P,1710839586468000000,1710839646467000000,0
NonBlockingReadAction.failedExecutionsCount,1710839586468000000,1710839646467000000,0
FlushQueue.executionTime90PNs,1710839586468000000,1710839646467000000,614399
AWTEventQueue.dispatchTimeMaxNs,1710839586468000000,1710839646467000000,66322431
FlushQueue.tasksExecuted,1710839586468000000,1710839646467000000,335
NonBlockingReadAction.finalizedExecutionTimeUs,1710839586468000000,1710839646467000000,13446
NonBlockingReadAction.finalizedExecutionsCount,1710839586468000000,1710839646467000000,24
AWTEventQueue.dispatchTimeAvgNs,1710839586468000000,1710839646467000000,1303063.988143757
FilePageCache.maxRegisteredFiles,1710839646467000000,1710839706467000000,714
FilePageCache.uncachedFileAccess,1710839646467000000,1710839706467000000,0
FilePageCache.pageLoads,1710839646467000000,1710839706467000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1710839646467000000,1710839706467000000,0
DirectByteBufferAllocator.misses,1710839646467000000,1710839706467000000,0
DirectByteBufferAllocator.reclaimed,1710839646467000000,1710839706467000000,0
FilePageCache.pageHits,1710839646467000000,1710839706467000000,0
FilePageCache.capacityInBytes,1710839646467000000,1710839706467000000,524288000
FilePageCache.pageLoadsAboveSizeThreshold,1710839646467000000,1710839706467000000,0
FilePageCache.totalPageDisposalsUs,1710839646467000000,1710839706467000000,0
FilePageCache.totalPageLoadsUs,1710839646467000000,1710839706467000000,0
DirectByteBufferAllocator.disposed,1710839646467000000,1710839706467000000,0
StorageLockContext.competingThreads.90P,1710839646467000000,1710839706467000000,0
FilePageCache.pageFastCacheHits,1710839646467000000,1710839706467000000,468
StorageLockContext.competingThreads.avg,1710839646467000000,1710839706467000000,0.0
FilePageCache.maxCacheSizeInBytes,1710839646467000000,1710839706467000000,340746240
FilePageCache.disposedBuffers,1710839646467000000,1710839706467000000,0
StorageLockContext.competingThreads.max,1710839646467000000,1710839706467000000,0
DirectByteBufferAllocator.hits,1710839646467000000,1710839706467000000,0
FileNameCache.totalMisses,1710839646467000000,1710839706467000000,0
FileNameCache.fastMisses,1710839646467000000,1710839706467000000,0
FileNameCache.queries,1710839646467000000,1710839706467000000,2837
FlushQueue.queueSizeAvg,1710839646467000000,1710839706467000000,0.044642857142857144
FlushQueue.waitingTimeMaxNs,1710839646467000000,1710839706467000000,9437183
AWTEventQueue.dispatchTime90PNs,1710839646467000000,1710839706467000000,4259839
FlushQueue.queueSizeMax,1710839646467000000,1710839706467000000,1
FlushQueue.executionTimeAvgNs,1710839646467000000,1710839706467000000,345278.09523809527
NonBlockingReadAction.failedExecutionTimeUs,1710839646467000000,1710839706467000000,0
AWTEventQueue.eventsDispatched,1710839646467000000,1710839706467000000,2695
FlushQueue.waitingTimeAvgNs,1710839646467000000,1710839706467000000,458030.6666666667
FlushQueue.waitingTime90PNs,1710839646467000000,1710839706467000000,868351
FlushQueue.executionTimeMaxNs,1710839646467000000,1710839706467000000,6815743
FlushQueue.queueSize90P,1710839646467000000,1710839706467000000,0
NonBlockingReadAction.failedExecutionsCount,1710839646467000000,1710839706467000000,0
FlushQueue.executionTime90PNs,1710839646467000000,1710839706467000000,712703
AWTEventQueue.dispatchTimeMaxNs,1710839646467000000,1710839706467000000,18481151
FlushQueue.tasksExecuted,1710839646467000000,1710839706467000000,336
NonBlockingReadAction.finalizedExecutionTimeUs,1710839646467000000,1710839706467000000,23075
NonBlockingReadAction.finalizedExecutionsCount,1710839646467000000,1710839706467000000,24
AWTEventQueue.dispatchTimeAvgNs,1710839646467000000,1710839706467000000,1829016.2048237477
FilePageCache.maxRegisteredFiles,1710839706467000000,1710839766467000000,714
FilePageCache.uncachedFileAccess,1710839706467000000,1710839766467000000,0
FilePageCache.pageLoads,1710839706467000000,1710839766467000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1710839706467000000,1710839766467000000,0
DirectByteBufferAllocator.misses,1710839706467000000,1710839766467000000,0
DirectByteBufferAllocator.reclaimed,1710839706467000000,1710839766467000000,0
FilePageCache.pageHits,1710839706467000000,1710839766467000000,0
FilePageCache.capacityInBytes,1710839706467000000,1710839766467000000,524288000
FilePageCache.pageLoadsAboveSizeThreshold,1710839706467000000,1710839766467000000,0
FilePageCache.totalPageDisposalsUs,1710839706467000000,1710839766467000000,0
FilePageCache.totalPageLoadsUs,1710839706467000000,1710839766467000000,0
DirectByteBufferAllocator.disposed,1710839706467000000,1710839766467000000,0
StorageLockContext.competingThreads.90P,1710839706467000000,1710839766467000000,0
FilePageCache.pageFastCacheHits,1710839706467000000,1710839766467000000,624
StorageLockContext.competingThreads.avg,1710839706467000000,1710839766467000000,0.0
FilePageCache.maxCacheSizeInBytes,1710839706467000000,1710839766467000000,340746240
FilePageCache.disposedBuffers,1710839706467000000,1710839766467000000,0
StorageLockContext.competingThreads.max,1710839706467000000,1710839766467000000,0
DirectByteBufferAllocator.hits,1710839706467000000,1710839766467000000,0
FileNameCache.totalMisses,1710839706467000000,1710839766467000000,0
FileNameCache.fastMisses,1710839706467000000,1710839766467000000,834
FileNameCache.queries,1710839706467000000,1710839766467000000,17808
FlushQueue.queueSizeAvg,1710839706467000000,1710839766467000000,0.050595238095238096
FlushQueue.waitingTimeMaxNs,1710839706467000000,1710839766467000000,8028159
AWTEventQueue.dispatchTime90PNs,1710839706467000000,1710839766467000000,3538943
FlushQueue.queueSizeMax,1710839706467000000,1710839766467000000,1
FlushQueue.executionTimeAvgNs,1710839706467000000,1710839766467000000,305412.5714285714
NonBlockingReadAction.failedExecutionTimeUs,1710839706467000000,1710839766467000000,0
AWTEventQueue.eventsDispatched,1710839706467000000,1710839766467000000,2695
FlushQueue.waitingTimeAvgNs,1710839706467000000,1710839766467000000,270852.95238095237
FlushQueue.waitingTime90PNs,1710839706467000000,1710839766467000000,434175
FlushQueue.executionTimeMaxNs,1710839706467000000,1710839766467000000,9109503
FlushQueue.queueSize90P,1710839706467000000,1710839766467000000,0
NonBlockingReadAction.failedExecutionsCount,1710839706467000000,1710839766467000000,0
FlushQueue.executionTime90PNs,1710839706467000000,1710839766467000000,614399
AWTEventQueue.dispatchTimeMaxNs,1710839706467000000,1710839766467000000,44302335
FlushQueue.tasksExecuted,1710839706467000000,1710839766467000000,336
NonBlockingReadAction.finalizedExecutionTimeUs,1710839706467000000,1710839766467000000,92874
NonBlockingReadAction.finalizedExecutionsCount,1710839706467000000,1710839766467000000,28
AWTEventQueue.dispatchTimeAvgNs,1710839706467000000,1710839766467000000,1156746.0927643785
FilePageCache.maxRegisteredFiles,1710839766467000000,1710839826468000000,714
FilePageCache.uncachedFileAccess,1710839766467000000,1710839826468000000,35
FilePageCache.pageLoads,1710839766467000000,1710839826468000000,27
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1710839766467000000,1710839826468000000,0
DirectByteBufferAllocator.misses,1710839766467000000,1710839826468000000,27
DirectByteBufferAllocator.reclaimed,1710839766467000000,1710839826468000000,0
FilePageCache.pageHits,1710839766467000000,1710839826468000000,78705
FilePageCache.capacityInBytes,1710839766467000000,1710839826468000000,524288000
FilePageCache.pageLoadsAboveSizeThreshold,1710839766467000000,1710839826468000000,0
FilePageCache.totalPageDisposalsUs,1710839766467000000,1710839826468000000,7
FilePageCache.totalPageLoadsUs,1710839766467000000,1710839826468000000,21879
DirectByteBufferAllocator.disposed,1710839766467000000,1710839826468000000,58
StorageLockContext.competingThreads.90P,1710839766467000000,1710839826468000000,0
FilePageCache.pageFastCacheHits,1710839766467000000,1710839826468000000,1920950
StorageLockContext.competingThreads.avg,1710839766467000000,1710839826468000000,0.0
FilePageCache.maxCacheSizeInBytes,1710839766467000000,1710839826468000000,340746240
FilePageCache.disposedBuffers,1710839766467000000,1710839826468000000,58
StorageLockContext.competingThreads.max,1710839766467000000,1710839826468000000,0
DirectByteBufferAllocator.hits,1710839766467000000,1710839826468000000,0
FileNameCache.totalMisses,1710839766467000000,1710839826468000000,93547
FileNameCache.fastMisses,1710839766467000000,1710839826468000000,200429
FileNameCache.queries,1710839766467000000,1710839826468000000,4812317
FlushQueue.queueSizeAvg,1710839766467000000,1710839826468000000,31.835428571428572
FlushQueue.waitingTimeMaxNs,1710839766467000000,1710839826468000000,2734686207
AWTEventQueue.dispatchTime90PNs,1710839766467000000,1710839826468000000,5472255
FlushQueue.queueSizeMax,1710839766467000000,1710839826468000000,161
FlushQueue.executionTimeAvgNs,1710839766467000000,1710839826468000000,2822383.6725714286
NonBlockingReadAction.failedExecutionTimeUs,1710839766467000000,1710839826468000000,15124
AWTEventQueue.eventsDispatched,1710839766467000000,1710839826468000000,3813
FlushQueue.waitingTimeAvgNs,1710839766467000000,1710839826468000000,2.5988730093714285E8
FlushQueue.waitingTime90PNs,1710839766467000000,1710839826468000000,511705087
FlushQueue.executionTimeMaxNs,1710839766467000000,1710839826468000000,255852543
FlushQueue.queueSize90P,1710839766467000000,1710839826468000000,106
NonBlockingReadAction.failedExecutionsCount,1710839766467000000,1710839826468000000,1
FlushQueue.executionTime90PNs,1710839766467000000,1710839826468000000,3571711
AWTEventQueue.dispatchTimeMaxNs,1710839766467000000,1710839826468000000,1275068415
FlushQueue.tasksExecuted,1710839766467000000,1710839826468000000,1750
NonBlockingReadAction.finalizedExecutionTimeUs,1710839766467000000,1710839826468000000,3502117
NonBlockingReadAction.finalizedExecutionsCount,1710839766467000000,1710839826468000000,334
AWTEventQueue.dispatchTimeAvgNs,1710839766467000000,1710839826468000000,3621154.2439024393
