# OpenTelemetry Metrics report: .gz, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See BasicCsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FlushQueue.executionTime90PNs,1713547152542000000,1713547212555000000,5701631
FlushQueue.waitingTime90PNs,1713547152542000000,1713547212555000000,6140461055
AWTEventQueue.dispatchTimeAvgNs,1713547152542000000,1713547212555000000,1.1175223303575035E7
FlushQueue.queueSizeMax,1713547152542000000,1713547212555000000,575
FlushQueue.queueSize90P,1713547152542000000,1713547212555000000,393
FlushQueue.tasksExecuted,1713547152542000000,1713547212555000000,3196
NonBlockingReadAction.failedExecutionTimeUs,1713547152542000000,1713547212555000000,11785137
AWTEventQueue.dispatchTimeMaxNs,1713547152542000000,1713547212555000000,2164260863
FlushQueue.queueSizeAvg,1713547152542000000,1713547212555000000,178.7947434292866
FlushQueue.executionTimeAvgNs,1713547152542000000,1713547212555000000,8348207.577596996
NonBlockingReadAction.failedExecutionsCount,1713547152542000000,1713547212555000000,35
NonBlockingReadAction.finalizedExecutionsCount,1713547152542000000,1713547212555000000,392
AWTEventQueue.eventsDispatched,1713547152542000000,1713547212555000000,4951
FlushQueue.waitingTimeMaxNs,1713547152542000000,1713547212555000000,10871635967
NonBlockingReadAction.finalizedExecutionTimeUs,1713547152542000000,1713547212555000000,28607686
AWTEventQueue.dispatchTime90PNs,1713547152542000000,1713547212555000000,16056319
FlushQueue.executionTimeMaxNs,1713547152542000000,1713547212555000000,2164260863
FlushQueue.waitingTimeAvgNs,1713547152542000000,1713547212555000000,2.420180067624531E9
StorageLockContext.competingThreads.max,1713547152542000000,1713547212555000000,2
DirectByteBufferAllocator.reclaimed,1713547152542000000,1713547212555000000,0
FilePageCache.pageLoads,1713547152542000000,1713547212555000000,4634
FilePageCache.maxCacheSizeInBytes,1713547152542000000,1713547212555000000,389832704
FilePageCache.capacityInBytes,1713547152542000000,1713547212555000000,524288000
FilePageCache.pageHits,1713547152542000000,1713547212555000000,123691
StorageLockContext.competingThreads.avg,1713547152542000000,1713547212555000000,0.034782608695652174
FilePageCache.totalPageLoadsUs,1713547152542000000,1713547212555000000,1136914
FilePageCache.pageLoadsAboveSizeThreshold,1713547152542000000,1713547212555000000,0
FilePageCache.uncachedFileAccess,1713547152542000000,1713547212555000000,901
DirectByteBufferAllocator.disposed,1713547152542000000,1713547212555000000,3088
DirectByteBufferAllocator.misses,1713547152542000000,1713547212555000000,4634
FilePageCache.pageFastCacheHits,1713547152542000000,1713547212555000000,5676271
StorageLockContext.competingThreads.90P,1713547152542000000,1713547212555000000,0
FilePageCache.totalPageDisposalsUs,1713547152542000000,1713547212555000000,24994
FilePageCache.maxRegisteredFiles,1713547152542000000,1713547212555000000,715
FilePageCache.disposedBuffers,1713547152542000000,1713547212555000000,3088
DirectByteBufferAllocator.hits,1713547152542000000,1713547212555000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1713547152542000000,1713547212555000000,0
FileNameCache.queries,1713547152542000000,1713547212555000000,10806378
FileNameCache.totalMisses,1713547152542000000,1713547212555000000,134370
FileNameCache.fastMisses,1713547152542000000,1713547212555000000,537324
FlushQueue.executionTime90PNs,1713547212555000000,1713547272556000000,724991
FlushQueue.waitingTime90PNs,1713547212555000000,1713547272556000000,494927871
AWTEventQueue.dispatchTimeAvgNs,1713547212555000000,1713547272556000000,3413237.965018246
FlushQueue.queueSizeMax,1713547212555000000,1713547272556000000,3775
FlushQueue.queueSize90P,1713547212555000000,1713547272556000000,2767
FlushQueue.tasksExecuted,1713547212555000000,1713547272556000000,13429
NonBlockingReadAction.failedExecutionTimeUs,1713547212555000000,1713547272556000000,2672987
AWTEventQueue.dispatchTimeMaxNs,1713547212555000000,1713547272556000000,411041791
FlushQueue.queueSizeAvg,1713547212555000000,1713547272556000000,1089.9620969543525
FlushQueue.executionTimeAvgNs,1713547212555000000,1713547272556000000,848969.1729838409
NonBlockingReadAction.failedExecutionsCount,1713547212555000000,1713547272556000000,22
NonBlockingReadAction.finalizedExecutionsCount,1713547212555000000,1713547272556000000,5980
AWTEventQueue.eventsDispatched,1713547212555000000,1713547272556000000,7947
FlushQueue.waitingTimeMaxNs,1713547212555000000,1713547272556000000,1568669695
NonBlockingReadAction.finalizedExecutionTimeUs,1713547212555000000,1713547272556000000,77845789
AWTEventQueue.dispatchTime90PNs,1713547212555000000,1713547272556000000,7176191
FlushQueue.executionTimeMaxNs,1713547212555000000,1713547272556000000,343932927
